]	p-p	End a quotation	[ #45 n:put ] call\n	Quotations are anonymous, nestable functions. Konilo uses `]` to end one.\n	[\n
a:append	aa-a	Create a new array with the contents of a1 followed by a2	(displays:_1_2_3_6_5_4)\n\n( #3 #2 #1 ) #3 a:make/temp\n( #4 #5 #6 ) #3 a:make/temp\na:append\n\n[ n:put sp ] a:for-each\n	An `a:append` operations constructs a new (temporal) array from the contents of two provided arrays.\n	a:prepend\n
a:behead	a-a	Remove first item from an array	(remove_first_item_in_array)\n\n( #100 #200 #300 ) #3 a:make/temp a:behead\n		a:chop\n
a:chop	a-a	Remove last item from an array	(remove_last_item_in_array)\n\n( #100 #200 #300 ) #3 a:make/temp a:chop\n	New array is allocated in the temporary pool.\n	a:behead\n
a:contains?	an-f	True if array contains n. False otherwise	( #100 #200 #300 ) #3 a:make \data-set\n\n&data-set #300 a:contains? n:put nl\n&data-set #281 a:contains? n:put nl\n		
a:copy	ap-	Copy array a to memory starting at pointer p	( #100 #200 #300 ) #3 a:make \data-set\nhere #4 allot \data-set-copy\n&data-set &data-set-copy a:copy\n		
a:dup	a-a	Make a copy of an array	( #100 #200 #300 ) #3 a:make \data-set\n&data-set a:dup [ n:put sp ] a:for-each\n		
a:eq?	aa-f	Compare two arrays for equality	( #100 #200 #300 ) #3 a:make \data-set1\n( #100 #200 #300 ) #3 a:make \data-set2\n( #10 #20 #30 ) #3 a:make \data-set3\n\n&data-set1 &data-set2 a:eq? n:put nl\n&data-set1 &data-set3 a:eq? n:put nl\n&data-set2 &data-set3 a:eq? n:put nl\n		
a:-eq?	aa-f	Compare two arrays for inequality	( #100 #200 #300 ) #3 a:make \data-set1\n( #100 #200 #300 ) #3 a:make \data-set2\n( #10 #20 #30 ) #3 a:make \data-set3\n\n&data-set1 &data-set2 a:-eq? n:put nl\n&data-set1 &data-set3 a:-eq? n:put nl\n&data-set2 &data-set3 a:-eq? n:put nl\n		
a:fetch	an-v	Fetch value stored at index n in array	( #100 #200 #300 ) #3 a:make \data-set\n&data-set #2 a:fetch n:put\n		a:store a:th\n
a:filter	ap-a	Run p once for each value in a. If it returns true, copy value new array	( #1 #2 #3 #4 ) #4 a:make \data-set\n&data-set [ #2 n:mod n:zero? ] a:filter [ n:put sp ] a:for-each\n		
a:first	a-n	Return the first value in an array	( #1 #2 #3 #4 ) #4 a:make/temp a:first n:put nl\n		
a:for-each	ap-	Run p once for each value in the array. Pushes each value prior to calling p	( #1 #2 #3 #4 ) #4 a:make/temp [ n:put tab ] a:for-each nl\n		
a:hash	a-n	Return the hash of an array	( #1 #2 #3 #4 ) #4 a:make/temp a:hash\n		
a:indices	av-a	Return array of indices for v in source array	'hello_world $o a:indices [ n:put sp ] a:for-each nl\n		a:index\n
a:index	av-n	Return first index of n in a	'hello_world $e a:index n:put nl\n		a:indices\n
a:last	a-n	Return the last value in an array	'hello a:last c:put\n		
a:left	an-a	Return left n values from array	( #1 #20 #13 #84 #5 ) #5 a:make/temp #3 a:left\n	New array is allocated in the temporary pool.\n	a:right a:middle\n
a:length	a-n	Return the length of an array	(returns_3)\n\n( #100 #200 #300 ) #3 a:make/temp a:length\n		
a:make	...n-a	Create a new permanent array from the provided values	(create_an_array_of_three_characters,_"cba")\n\n$a $b $c #3 a:make\n\n(display_it_as_a_string)\n\ns:put nl\n	This creates an array in the permanent memory area. For arrays that aren't needed long term, it may be better to use `a:make/temp` instead.\n	a:make/temp\n
a:make/temp	...n-a	Create a new temporary array from the provided values	(create_an_array_of_three_characters,_"cba")\n\n$a $b $c #3 a:make/temp\n\n(display_it_as_a_string)\n\n s:put nl\n	This creates an array in the temporary pool. This is preferred for short lived arrays.\n	a:make\n
a:map	ap-a	Run p once for each value in the array. Takes the returned value and creates a new array	(displays:_30_20_10)\n\n( #1 #2 #3 ) #3 a:make/temp [ #10 n:mul ] a:map [ n:put sp ] a:for-each\n		
a:middle	afl-a	Return new array from f to l, inclusive	(__5__4__3__2__1__0_:-_value_offset)\n( #6 #5 #4 #3 #2 #1 ) #6 a:make/temp\n(_______^^__________:_-_start_at_offset_3)  #3\n(____^^_^^__________:_-_take_two_values)    #2\na:middle\n		a:left a:right\n
a:prepend	aa-a	Create a new array with the contents of a2 followed by a1	(displays:_6_5_4_1_2_3)\n\n( #3 #2 #1 ) #3 a:make/temp\n( #4 #5 #6 ) #3 a:make/temp\n\na:prepend\n\n[ n:put sp ] a:for-each\n	An `a:prepend` operations constructs a new (temporal) array from the contents of two provided arrays. This is identical to `a:append` except for the argument ordering.\n	a:append\n
a:reduce	anp-n	Takes an array, a starting value, and a quote. This will apply the quote to each item in the array; the quote should consume two values and return one	(sum_values_in_array)\n\n:a:sum (a-n)  #0 [ n:add ] a:reduce ;\n\n( #1 #20 #13 #84 #5 ) #5 a:make/temp a:sum\n		
a:reverse	a-a	Reverse the order of items in an array	( #1 #20 #13 #84 #5 ) #5 a:make/temp a:reverse\n	New array is allocated in the temporary pool.\n	
a:right	an-a	Return right n values from array	( #1 #20 #13 #84 #5 ) #5 a:make/temp #2 a:right\n	New array is allocated in the temporary pool.\n	a:left a:middle\n
a:store	van-	Store value v into array at index n	( #1 #20 #13 #84 #5 ) #5 a:make \data-set\n\n&data-set [ n:put sp ] a:for-each\n#2000 &data-set #2 a:store\n&data-set [ n:put sp ] a:for-each\n		a:fetch a:th\n
a:temp	a-a	Make a copy of the array in the temporary string/array space	(make_an_array)\n\n( #10 #15 #20 ) #3 a:make\n\n(put_a_copy_into_the_temporary_buffers)\n\na:temp\n	The temporary pool is shared with strings.\n	
a:th	an-p	Return the address of a specific index into the array	( #10 #15 #20 ) #3 a:make/temp #1 a:th\n	The calculation for this is:\n\n    array-start + offset + 1\n\n`a:th` is provided to aid in readability, and is mainly an internal factor used by `a:fetch` and `a:store`.\n	a:fetch a:store\n
allot	n-	Allocate n cells of memory	(allocate_500_cells)\n#500 allot\n\n(free_500_cells)\n#-500 allot\n	`allot` both allocates and frees (when passed a negative length) memory at `here`. The allocations are strictly linear, so take care when freeing memory. If you need to temporarily allocate memory, it's recommended to use `allot` in a `gc` quote to handle the cleanup.\n	Free here gc\n
and	nn-n	Perform a bitwise AND	#0  #-1 and n:put nl (0)\n#-1 #-1 and n:put nl (-1)\n#-1 #0  and n:put nl (0)\n#0  #0  and n:put nl (0)\n		or xor not\n
bi	xpp-?	Execute p1 against x, then p2 against a copy of x	#10 [ n:inc ] [ n:dec ] bi\n		bi* bi@ tri tri* tri@\n
bi*	xypp-	Execute p1 against x and p2 against y	#10 #20 [ n:inc ] [ n:dec ] bi*\n		bi bi@ tri tri* tri@\n
bi@	xyp-	Execute p against x, execute p against y	#10 #20 [ #10 n:div ] bi@\n		bi bi* tri tri* tri@\n
block:load	np-	Read 1024 cells in block n to p	(load_contents_of_block_45_into_block_buffer)\n#45 block:buffer block:load\n		block:save block:buffer\n
block:save	np-	Save 1024 cells at p to block n	(save_contents_of_block_buffer_to_block_45)\n#45 block:buffer block:save\n		block:load block:buffer\n
block:buffer	-p	Return a pointer to the start of the block buffer	block:buffer\n		block:load block:save\n
bye	-	Exit Konilo	(exit_konilo)\nbye\n	On a hosted system, `bye` will generally exit the system. On a native/embedded system the behaviour is left to the implementation. Consult the documentation for your local system in this case.\n	
c:get	-c	Read a character from the keyboard	:pause 'Press_a_key... s:put c:get drop ;\n	This word may return as soon as a key is hit or buffered until a newline is entered. On a BSD or Linux, you can run `stty cbreak` prior to starting Konilo to have it return immediately. If you do this, run `stty -cbreak` when done.\n\nIf you use a Unix and prefer line buffering, it's worth considering using something like `rlwrap` to get history and line editing support.\n\n`c:get` is a hookable word. It starts with a set of two `........` instruction bundles (NOPs) that can be replaced to jump to a user-chosen word instead. If you are trying to inject data as input, this should be your starting point.\n\n	c:put\n
c:lowercase?	c-f	Return true if character is lowercase or false if not	(returns_true)\n$c c:lowercase?\n\n(returns false)\n$D c:lowercase?\n	The case determination only works with ASCII (or the subset of UTF8 corresponding to ASCII).\n	c:uppercase?\n
c:put	c-	Display a single character	$h c:put $e c:put $l c:put $l c:put $o c:put\n	`c:put` is a hookable word. It starts with a set of two `........` instruction bundles (NOPs) that can be replaced to jump to a user-chosen word instead. If you are trying to capture all output, this is the best bet.\n	c:get\n
c:to-lower	c-c	Convert character to lowercase	$c c:to-lower c:put\n	The case conversion only works with ASCII (or the subset of UTF8 corresponding to ASCII).\n	c:to-upper\n
c:to-s	c-s	Convert a character to a string	$c c:to-s\n	This create a temporary string and sets the first character to the provided one. It's useful if you need to append a character to a string.\n	s:to-n n:to-s\n
c:to-upper	c-c	Convert character to uppercase	$c c:to-upper c:put\n	The case conversion only works with ASCII (or the subset of UTF8 corresponding to ASCII).\n	c:to-lower\n
c:uppercase?	c-f	Return true if character is uppercase or false if not	(returns_true)\n$C c:uppercase?\n\n(returns false)\n$d c:uppercase?\n	The case determination only works with ASCII (or the subset of UTF8 corresponding to ASCII).\n	c:lowercase?\n
call	p-	Call a function	(call_a_function_[via_pointer])\n&bye call\n\n(or_call_a_quote)\n[ bye ] call\n		jump\n
choose	fpp-	Execute p1 if flag is non-zero or p2 if zero.	:is-one? (n-)\n  [ #1 eq? ] [ #-1 eq? ] bi or\n  [ 'Yes! ] [ 'No! ] choose s:put nl ;\n\n#10 is-one? (No!)\n#1 is-one? (Yes!)\n#-1 is-one? (Yes!)\n#-10 is-one? (No!)\n		if -if\n
comma	n-	Inline a value to here and increment Free	(let's_make_a_manual_array)\nhere       (pointer)\n  #3 comma (length)\n  $a comma (value_0)\n  $b comma (value_1)\n  $c comma (value_2)\n\n(display it)\n[ c:put ] a:for-each nl\n		
compare	sdn-f	Compare n cells of memory startng at s to memory starting at d. Return true if all match or false otherwise	'Hello s:keep \Test-1\n'Nevermore s:keep \Test-2\n'Hello s:keep \Test-3\n&Test-1 &Test-2 over s:length n:inc compare n:put nl (0)\n&Test-1 &Test-3 over s:length n:inc compare n:put nl (-1)\n&Test-2 &Test-3 over s:length n:inc compare n:put nl (0)\n		
compiling?	-f	True if Compiler is set, False otherwise	:c?\n  compiling? [ 'Compiler_active ] [ 'Interpreting ] choose\n  s:put nl ; #-1 @Dictionary d:flags store\n\nc?\n[ c? ] drop\n		Compiler sigil:: ;\n
compile:lit	n-	Internal. Compile an ilo li instruction	(used_internally)\n		
compile:call	p-	Internal. Compile an ilo lica instruction	(used_internally)\n		
compile:jump	p-	Internal. Compile an ilo liju instruction	(used_internally)\n		
copy	sdc-	Copy c cells starting at s to memory starting at d. Does not support overlapping regions	'Test d:create #45 allot\n\n'Test_data &Test over s:length n:inc copy\n		
curry	vp-p	Create a new quote pushing the value, then calling p1	#100 &n:put curry \100\n\n100 (displays_100)\n		
d:address	d-p	Given a dictionary header, return a pointer to the address field	(get_address_of_most_recent_word)\n\n@Dictionary d:address fetch\n		d:flags d:hash d:link\n
d:create	s-	Create a new header	(create_a_new_header_for_"foo")\n\n'foo d:create\n\n(the_address_field_is_pointing_to_`here`)\n		sigil::\n
d:exists?	s-f	Given a dictionary header, return a flag indicating whether or not the word exists	:defined? (s-) d:exists? [ 'yes ] [ 'no ] choose s:put nl ;\n\n'drop defined?\n'dfo4j2o41oj defined?\n		
d:flags	d-p	Given a dictionary header, return a pointer to the flags field	(get_flags_of_most_recent_word)\n\n@Dictionary d:flags fetch\n	The flags field is currently used to identify immediate words. We can extend this to support up to 32 flags, but there are no plans to do so at this time.\n	d:address d:hash d:link\n
d:hash	d-p	Given a dictionary header, return a pointer to the hash field	(get_hash_of_most_recent_word)\n\n@Dictionary d:hash fetch\n		d:address d:flags d:link\n
d:link	d-p	Given a dictionary header, return a pointer to the link field	(get_header_of_most_recent_word)\n\n@Dictionary\n\n(follow_d:link_to_previous_header)\n\nd:link fetch\n		d:address d:flags d:hash\n
d:lookup	s-d	Lookup a word in the dictionary. Returns zero if not found or the dictionary header address	:defined? (s-f) d:lookup n:-zero? ;\n'sys:info defined? n:put nl (-1)\n'dj13j1gm0 defined? n:put nl (0)\n\n'bye d:lookup d:address fetch call\n		
depths	-nm	Return depths of data and address stacks	depths n:put tab n:put nl\n	The returned depth of the data stack does not include the values being pushed by this.\n	depth/data depth/address\n
depth/data	-n	Return the depth of the data stack	:.stk depth/data n:put '_items_on_the_stack s:put nl ;\n.stk\n	The returned depth does not include the value being pushed by this.\n	depths depth/address\n
depth/address	-n	Return the depth of the address stack	depth/address n:put nl\n		depth/data depths\n
dip	np-n	Push n to address stack, call p. then restore n to data stack	#1 #2 [ n:put nl ] dip n:put nl\n	This is the same as doing:\n\npush ... pop\n	sip push pop\n
drop	n-	Discard top value on stack	#1 #2 #3 #4 #5 #6 drop\n#5 [ n:put tab ] times nl\n		drop-pair nip\n
drop-pair	nn-	Discard top two values on stack	#1 #2 #3 #4 #5 #6 drop-pair\nn:put tab n:put nl\nn:put tab n:put nl\n	This is the same as doing `drop drop`.\n	drop nip\n
dtc	-	Internal. Data following is a direct threaded address list	(used_internally)\n		
dup	n-nn	Duplicate top value on stack	#13 dup n:put tab n:put nl\n		dup-pair\n
dup-pair	nm-nmnm	Duplicate top two values	#1 #2 dup-pair\nn:put tab n:put nl\nn:put tab n:put nl\n		dup\n
e:Display	-	Data. Holds a pointer to a block display word. Called by edit.	&list# !e:Display\n@e:Display call\n	The `e:Display` variable holds a pointer to the word used to display a block when editing starts via `edit`. It defaults to holding a pointer to `list`.\n	list list* list# sys:info\n
e:erase/line	n-	Erase line n in the block buffer	(erase_contents_of_line_10)\n#10 e:erase/line\n		
e:insert	n'-	Erase line n, parse to end of line, insert into line n	(replace_line_10_with_text_following_`e:insert`)\n#10 e:insert hello, world!\n		0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 e:insert-at\n
e:insert-at	lc'-	Parse to end of line. Insert text into line l at column c	(replace_line_10,_starting_at_column_5,_with_text_following_`e:insert`)\n#10 #5 e:insert hello, world!\n		0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 e:insert\n
e:line	n-	Display a single line from the current block	(display_line_10_of_current_block)\n#10 e:line\n		
e:replace	ls-	Insert text s into line l	(Replace_line_10_with_"Hello_World!")\n#10 'Hello_World! e:replace list\n		0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 e:insert e:insert-at e:replace-at\n
e:replace-at	lcs-	Insert text s into line l at column c	(Replace_text_in_line_10_with_"Hello_World!")\n(Starts_at_column_5)\n#10 #5 'Hello_World! e:replace list\n		0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 e:insert e:insert-at e:replace-at\n
e:to-line	n-p	Return pointer to start of line in the block buffer	#10 e:to-line n:put (address_of_line_10)\n		
edit	n-	Set Block to n. Load and display block	(begin_editing_block_0)\n\n#0 edit\n		list list* list# e:Display sys:info\n
eq?	nn-f	Compare values for equality	#10 #10 eq? n:put nl\n #9 #10 eq? n:put nl\n		-eq? lt? gt? lteq? gteq?\n
fetch	p-n	Fetch a value stored at address	#75 'foo var-n\n&foo fetch n:put nl\n		fetch-next\n
fetch-next	a-an	Fetch a value stored at address Also returns the next address	#75 'foo var-n #80 comma\n&foo fetch-next n:put tab fetch n:put nl\n		fetch\n
fill	vpn-	Fill n cells of memory starting at p with value v	'Test d:create #100 comma #100 allot\n\n(populate_string_with_100_"f"_characters)\n$f &Test n:inc #100 fill\n\n(display_100_"f"_characters_in_string)\n&Test s:put\n		
forever	p-	Run p repeatedly, in an unending loop	[ 'hello! s:put nl ] forever\n		I J K indexed-times times while until\n
gc	p-	Run function at pointer p. Saves and restores Free to recover any memory allocated during run	[ here n:put nl\n  #1000 allot\n  here n:put nl ] gc\n	This is a very simple form of garbage collection. Some words will allocate memory at `here`. By wrapping calls to these in a quote and passing to `gc`, this memory will be reclaimed when the quote returns.\n\nYou shouldn't use this with code that's actually allocating things you want to keep around.\n	Free here allot\n
gt?	nn-f	Compare values for n1 greater than n2	#10 #11 gt? n:put nl\n#10 #10 gt? n:put nl\n #9 #10 gt? n:put nl\n		-eq? eq? lt? lteq? gteq?\n
gteq?	nn-f	Compare two values for greater than or equality	#10 #11 gteq? n:put nl\n#10 #10 gteq? n:put nl\n #9 #10 gteq? n:put nl\n		-eq? eq? lt? gt? lteq?\n
here	-a	Return the next free memory address	(print_"here")\n\nhere n:put nl\n\n(determine_length_of_allocated_data)\nhere ( #1 #2 #3 ) #3 a:make drop here swap n:sub n:put nl\n		Free allot gc\n
if	fp-	Execute p if flag is non-zero	:check [ 'Value_is_valid_for_true_(non-zero) s:put nl ] if ;\n\n#100 check\n#0 check\n#-100 check\n		-if choose\n
indexed-times	np-	Run a quote the specified number of times, tracking the loop index in I	#10 [ I n:put sp ] indexed-times nl\n	With `indexed-times` you can obtain the loop index with `I`. This will always count down towards zero. If you don't need the loop index, use `times` instead as it's more efficient.\n	I J K forever times until while\n
internal:lit	-n	Internal. Push next value in memory to the stack	(used_internally)\n		
internal:quote	-p	Internal. Skip over quote. Push address of quote to stack.	(used_internally)\n		
interpret	s-	Interpret token	'#124 interpret\n'n:put interpret\n		s:evaluate\n
io	...n-	Trigger an I/O operation	(used_internally)\n		
jump	p-	Internal. Jump to an address	&bye jump\n		call\n
list*	-	Display the text in the block	list*\n		list# list e:Display sys:info\n
list#	-	Display the block with line numbers	list#\n		list* list e:Display sys:info\n
list	-	Display the block with line numbers and rules	list\n		list* list# e:Display sys:info\n
load	-	(re)Load the current block	load\n	Loads block (number taken from `Block`) into the `block:buffer`.\n	set save block:load block:save block:buffer\n
lt?	nn-f	Compare values for n1 less than n2	#10 #11 lt? n:put nl\n#10 #10 lt? n:put nl\n #9 #10 lt? n:put nl\n		-eq? eq? gt? lteq? gteq?\n
lteq?	nn-f	Compare two values for less than or equality	#10 #11 lteq? n:put nl\n#10 #10 lteq? n:put nl\n #9 #10 lteq? n:put nl\n		-eq? eq? lt? gt? gteq?\n
n:abs	n-n	Return the absolute value of n	#-190 n:abs n:put nl\n#31 n:abs n:put nl\n		n:negate\n
n:add	nn-n	Add n1 to n2, returning n3	(add_5_+_5)\n\n#5 #5 n:add\n		n:sub n:mul n:div n:divmod n:mod\n
n:between?	nlu-f	True if n is between l and u, inclusive	#10 #1 #100 n:between? [ 'yes s:put nl ] if\n#10 #10 #100 n:between? [ 'yes s:put nl ] if\n#10 #-1 #10 n:between? [ 'yes s:put nl ] if\n#10 #50 #93 n:between? [ 'yes s:put nl ] if\n		
n:dec	n-n	Decrement n by 1	(decrease_100_by_1)\n\n#100 n:dec\n		n:inc\n
n:div	nn-n	Divine n1 by n2; get result	#110 #10 n:div n:put nl (11)\n		n:add n:sub n:mul n:divmod n:mod\n
n:divmod	nn-nn	Divide n1 by n2 and return the result and remainder	#115 #10 n:divmod n:put sp n:put nl (11,_5)\n		n:add n:sub n:mul n:div n:mod\n
n:get	'-n	Read a number from the input device			n:put\n
n:inc	n-n	Increment n by 1	(increment_100_by_1)\n\n#100 n:inc\n		n:dec\n
n:limit	nlu-n	Constrain n to between l and u, inclusive	#10 #1 #100 n:limit n:put nl\n#10 #1 #10 n:limit n:put nl\n#10 #1 #5 n:limit n:put nl\n		n:min n:max\n
n:max	nn-n	Return the greater of two values	#33 #45 n:max n:put nl\n#-1 #21 n:max n:put nl\n#45 #33 n:max n:put nl\n		n:limit n:min\n
n:min	nn-n	Return the lower of two values	#33 #45 n:min n:put nl\n#-1 #21 n:min n:put nl\n#45 #33 n:min n:put nl\n		n:limit n:max\n
n:mod	nn-n	Divide n1 by n2; get remainder	#115 #10 n:mod n:put nl (5)\n		n:add n:sub n:mul n:div n:divmod\n
n:mul	nn-n	Multiply n1 by n2, returning n3	#33 #10 n:mul n:put nl\n		n:add n:sub n:div n:divmod n:mod\n
n:negate	n-n	Invert the sign of n	#21 n:negate n:put nl\n#-21 n:negate n:put nl\n		n:abs\n
n:put	n-	Display a number	#12 n:put nl\n#-312 n:put nl\n		c:put s:put\n
n:sub	nn-n	Subtract n2 from n1	(subtract_33_from_45)\n\n#45 #33 n:sub n:put nl\n		n:add n:mul n:div n:divmod n:mod\n
n:to-s	n-s	Convert number to a temp string	(convert_numbers_to_temporary_strings)\n\n#124 n:to-s\n#-13 n:to-s\n		c:to-s s:to-n\n
n:zero?	n-f	Compare n to zero. True if zero, false otherwise	:zero? n:zero? [ 'yes! s:put nl ] if ;\n#10 zero?\n#0 zero?\n		n:-zero?\n
n:-zero?	n-f	Compare n to zero. True if not zero, false otherwise	:zero? n:-zero? [ 'no! s:put nl ] if ;\n#10 zero?\n#0 zero?\n		n:zero?\n
